                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
140,0.58891,0.43941,1.1333,0.85995,0.68966,0.78498,0.5079,1.498,1.0785,2.1104,0.0031195,0.0031195,0.0031195
141,0.6024,0.44844,1.1514,0.85825,0.68966,0.7903,0.50827,1.4982,1.0627,2.1182,0.00307,0.00307,0.00307
142,0.60027,0.45046,1.1504,0.85004,0.69165,0.78655,0.50843,1.497,1.0662,2.1217,0.0030205,0.0030205,0.0030205
143,0.58312,0.44382,1.1303,0.8482,0.6966,0.78579,0.50893,1.5042,1.0684,2.1352,0.002971,0.002971,0.002971
144,0.58302,0.43718,1.1435,0.84276,0.69496,0.78353,0.50977,1.5033,1.0646,2.1403,0.0029215,0.0029215,0.0029215
145,0.57625,0.4305,1.127,0.85231,0.69496,0.7878,0.50888,1.5047,1.0756,2.1455,0.002872,0.002872,0.002872
146,0.57314,0.43043,1.1293,0.84911,0.69496,0.78859,0.51132,1.5012,1.0779,2.1406,0.0028225,0.0028225,0.0028225
147,0.55505,0.41129,1.1158,0.81336,0.72149,0.7904,0.51268,1.4942,1.0759,2.1376,0.002773,0.002773,0.002773
148,0.5661,0.42404,1.126,0.84363,0.70121,0.79275,0.51179,1.4886,1.0723,2.1364,0.0027235,0.0027235,0.0027235
149,0.5661,0.42817,1.1233,0.83884,0.70027,0.79288,0.51078,1.4862,1.0656,2.1369,0.002674,0.002674,0.002674
150,0.56863,0.42509,1.1293,0.84049,0.70027,0.79311,0.51376,1.4885,1.0719,2.139,0.0026245,0.0026245,0.0026245
151,0.5545,0.41619,1.1164,0.84581,0.69761,0.79043,0.51423,1.4912,1.0665,2.146,0.002575,0.002575,0.002575
152,0.56081,0.40973,1.1191,0.84751,0.69761,0.78998,0.51138,1.4892,1.0629,2.146,0.0025255,0.0025255,0.0025255
153,0.55095,0.41002,1.1139,0.84251,0.69231,0.7844,0.50832,1.4914,1.065,2.1504,0.002476,0.002476,0.002476
154,0.55005,0.40569,1.1079,0.84373,0.687,0.78441,0.5085,1.4884,1.0602,2.1507,0.0024265,0.0024265,0.0024265
155,0.5411,0.40733,1.1058,0.85038,0.687,0.78607,0.50757,1.4908,1.075,2.1562,0.002377,0.002377,0.002377
156,0.53655,0.39286,1.1049,0.85453,0.68558,0.78769,0.50852,1.4896,1.0777,2.1583,0.0023275,0.0023275,0.0023275
157,0.52457,0.38913,1.088,0.78515,0.7374,0.78523,0.50937,1.4932,1.0815,2.1631,0.002278,0.002278,0.002278
158,0.52937,0.39457,1.0924,0.7855,0.7374,0.78544,0.50973,1.4921,1.0776,2.161,0.0022285,0.0022285,0.0022285
159,0.52232,0.39296,1.0923,0.7802,0.74005,0.78547,0.5087,1.4879,1.0787,2.1585,0.002179,0.002179,0.002179
160,0.5273,0.39994,1.0931,0.87628,0.66048,0.78563,0.51247,1.4918,1.0769,2.1686,0.0021295,0.0021295,0.0021295
161,0.51907,0.3836,1.0866,0.88292,0.66313,0.78941,0.51067,1.4938,1.0844,2.1731,0.00208,0.00208,0.00208
162,0.52123,0.38499,1.0853,0.88356,0.66313,0.78956,0.50922,1.4929,1.0837,2.1752,0.0020305,0.0020305,0.0020305
163,0.50474,0.3813,1.0803,0.88948,0.66844,0.79223,0.5101,1.4949,1.0817,2.1785,0.001981,0.001981,0.001981
164,0.50304,0.37229,1.0741,0.87638,0.66578,0.78891,0.51054,1.4942,1.08,2.1756,0.0019315,0.0019315,0.0019315
165,0.50118,0.37001,1.0725,0.86954,0.67185,0.78992,0.51078,1.4904,1.0782,2.173,0.001882,0.001882,0.001882
166,0.50204,0.37083,1.0723,0.85947,0.67905,0.79038,0.51012,1.4939,1.0734,2.1795,0.0018325,0.0018325,0.0018325
167,0.49201,0.36818,1.0661,0.85979,0.68318,0.78987,0.51023,1.4916,1.0786,2.1773,0.001783,0.001783,0.001783
168,0.49452,0.37042,1.0678,0.85927,0.67905,0.78621,0.50826,1.4908,1.072,2.1783,0.0017335,0.0017335,0.0017335
169,0.48919,0.36642,1.0663,0.86147,0.67905,0.78489,0.50892,1.493,1.0692,2.1837,0.001684,0.001684,0.001684
170,0.47855,0.35262,1.059,0.86532,0.67639,0.78515,0.50824,1.4946,1.0656,2.191,0.0016345,0.0016345,0.0016345
171,0.48287,0.36393,1.0665,0.86469,0.67803,0.78549,0.5085,1.4964,1.0653,2.1946,0.001585,0.001585,0.001585
172,0.46882,0.34677,1.0547,0.86683,0.67335,0.78653,0.50711,1.4969,1.0634,2.1962,0.0015355,0.0015355,0.0015355
173,0.46991,0.34745,1.051,0.86379,0.67109,0.78746,0.50809,1.4948,1.0636,2.1942,0.001486,0.001486,0.001486
174,0.46568,0.34755,1.0503,0.86363,0.67194,0.78744,0.50931,1.4971,1.0642,2.1984,0.0014365,0.0014365,0.0014365
175,0.4653,0.34221,1.0448,0.86585,0.66578,0.78768,0.50756,1.4987,1.0678,2.2033,0.001387,0.001387,0.001387
176,0.46624,0.34841,1.0483,0.86674,0.66578,0.78641,0.50635,1.4985,1.0674,2.2067,0.0013375,0.0013375,0.0013375
177,0.46246,0.34153,1.0453,0.87201,0.66578,0.78627,0.50584,1.4986,1.0726,2.2099,0.001288,0.001288,0.001288
178,0.45929,0.33459,1.0443,0.87579,0.66048,0.7866,0.50455,1.4992,1.081,2.2125,0.0012385,0.0012385,0.0012385
179,0.44934,0.33495,1.0403,0.87445,0.66313,0.78588,0.50163,1.4982,1.081,2.2135,0.001189,0.001189,0.001189
180,0.45161,0.33336,1.0439,0.87732,0.66313,0.78888,0.50212,1.4975,1.0853,2.2144,0.0011395,0.0011395,0.0011395
